"epid","title","image__imageUrl","marketPriceDetails__conditionGroup","marketPriceDetails__conditionIds__001","marketPriceDetails__conditionIds__002","marketPriceDetails__conditionIds__003","marketPriceDetails__conditionIds__004","marketPriceDetails__conditionIds__005","marketPriceDetails__estimatedStartPrice__value","marketPriceDetails__estimatedStartPrice__currency","reviewCount","averageRating","ratingCount","ratingAspects__name","ratingAspects__description","ratingAspects__count","ratingAspects__ratingAspectDistributions__value","ratingAspects__ratingAspectDistributions__count","ratingAspects__ratingAspectDistributions__percentage"
"209631791","Nikon D D5500 24.2 MP Digital SLR Camera - Black (Kit w/ VR II 18-55mm Lens)","http://i.ebayimg.com/00/s/MTU0WDIxMg==/z/dqgAAOSwPYZU~E91/$_6.JPG?set_id=89040003C1","USED","2750","3000","4000","5000","6000","544.9","USD","118","4.85","210","Easy to use","Is it easy to use?","189","FALSE","3","1.59"
"","","","REFURBISHED","2000","2500","","","","509.99","USD","","","","","","","TRUE","186","98.41"
"","","","NEW","1000","","","","","584.95","USD","","","","Good image quality","Does it have good image quality?","188","TRUE","188","100.00"
"","","","","","","","","","","","","","","Good value","Is it a good value?","188","FALSE","2","1.06"
"","","","","","","","","","","","","","","","","","TRUE","186","98.94"
"230154655","Canon EOS 5D Mark IV 30.4MP Digital SLR Camera - Black (Body Only)","http://i.ebayimg.com/00/s/NDUwWDY3NQ==/z/GKMAAOSw44BYUKHq/$_6.JPG?set_id=89040003C1","NEW","1000","","","","","2799.99","USD","14","4.79","34","Easy to use","Is it easy to use?","33","FALSE","1","3.03"
"","","","","","","","","","","","","","","","","","TRUE","32","96.97"
"","","","","","","","","","","","","","","Good image quality","Does it have good image quality?","32","TRUE","32","100.00"
"","","","","","","","","","","","","","","Good value","Is it a good value?","29","FALSE","2","6.90"
"","","","","","","","","","","","","","","","","","TRUE","27","93.10"
"220251868","Nikon D D5 20.8MP Digital SLR Camera - Black (Body Only) (With CF Card Slot)","http://i.ebayimg.com/00/s/NTc5WDYwMw==/z/aGEAAOSwbYZXfPTX/$_6.JPG?set_id=89040003C1","NEW","1000","","","","","5349.99","USD","4","5.0","6","Easy to use","Is it easy to use?","3","TRUE","3","100.00"
"","","","","","","","","","","","","","","Good image quality","Does it have good image quality?","3","TRUE","3","100.00"
"","","","","","","","","","","","","","","Good value","Is it a good value?","3","TRUE","3","100.00"
"220163956","Nikon D D500 20.9 MP Digital SLR Camera - Black (Body Only)","http://i.ebayimg.com/00/s/NTQwWDY3MQ==/z/ZFAAAOSwbYZXfPS-/$_6.JPG?set_id=89040003C1","USED","2750","3000","4000","5000","6000","1498.0","USD","18","4.81","31","Easy to use","Is it easy to use?","28","FALSE","1","3.57"
"","","","NEW","1000","","","","","1569.99","USD","","","","","","","TRUE","27","96.43"
"","","","","","","","","","","","","","","Good image quality","Does it have good image quality?","26","FALSE","1","3.85"
"","","","","","","","","","","","","","","","","","TRUE","25","96.15"
"","","","","","","","","","","","","","","Good value","Is it a good value?","26","FALSE","3","11.54"
"","","","","","","","","","","","","","","","","","TRUE","23","88.46"
"203954517","Nikon D D750 24.3 MP Digital SLR Camera - Black (Body Only)","http://i.ebayimg.com/00/s/NDUxWDU1Mw==/z/OVgAAOSw7ehXRbE-/$_6.JPG?set_id=89040003C1","NEW_OTHER","1500","1750","","","","1428.0","USD","107","4.81","198","Easy to use","Is it easy to use?","167","FALSE","9","5.39"
"","","","USED","2750","3000","4000","5000","6000","1289.0","USD","","","","","","","TRUE","158","94.61"
"","","","REFURBISHED","2000","2500","","","","1399.0","USD","","","","Good image quality","Does it have good image quality?","170","FALSE","1",".59"
"","","","NEW","1000","","","","","1445.0","USD","","","","","","","TRUE","169","99.41"
"","","","","","","","","","","","","","","Good value","Is it a good value?","169","FALSE","2","1.18"
"","","","","","","","","","","","","","","","","","TRUE","167","98.82"
"219551080","Sony Alpha a6000 24.3MP Digital Camera - Black (Kit w/ E PZ OSS 16-50mm Lens) (Body Kit)","http://i.ebayimg.com/00/s/NDczWDcwOQ==/z/LK4AAOSwDuJWugbo/$_6.JPG?set_id=89040003C1","NEW_OTHER","1500","1750","","","","552.7","USD","36","4.88","69","Easy to use","Is it easy to use?","34","FALSE","1","2.94"
"","","","USED","2750","3000","4000","5000","6000","499.99","USD","","","","","","","TRUE","33","97.06"
"","","","NEW","1000","","","","","546.61","USD","","","","Good image quality","Does it have good image quality?","32","TRUE","32","100.00"
"","","","","","","","","","","","","","","Good value","Is it a good value?","32","TRUE","32","100.00"
